channel_tag,label,patient_id,condition,source,confidence,project_id,role,protomix_status,organ,disease
126,Patient 1	126	127N,patient_1,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
127N,Patient 1	126	127N,patient_1,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
127C,Patient 2	127C	128N,patient_2,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
128N,Patient 2	127C	128N,patient_2,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
128C,Patient 3	128C	129N,patient_3,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
129N,Patient 3	128C	129N,patient_3,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
129C,Patient 4	129C	130N,patient_4,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
130N,Patient 4	129C	130N,patient_4,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
130C,Patient 5	130C	131,patient_5,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
131,Patient 5	130C	131,patient_5,,csv:TMT Channels Used,0.85,PXD026279,,complete,Stomach,Gastric cancer
131N,Supermix (standard / “SuperMix”),unknown_131N,Supermix (standard / “SuperMix”),csv:TMT Channels Used,0.5,PXD024322,unknown,complete,Breast,Breast cancer
131C,PIS (pooled internal standard; плюс IsoDoping peptides),reference_131C,PIS (pooled internal standard; плюс IsoDoping peptides),csv:TMT Channels Used,0.5,PXD024322,reference,complete,Breast,Breast cancer
126,Normal,control_126,Normal (healthy),csv:TMT Channels Used+learned,0.45,PXD024322,,complete,Breast,Breast cancer
127N,Luminal A,,Luminal A,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
127C,Luminal A,,Luminal A,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
128N,Luminal B,,Luminal B,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
128C,Luminal B,,Luminal B,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
129N,Basal-like,,Basal-like,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
129C,Basal-like,,Basal-like,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
130N,Her2-Enriched,,Her2-Enriched,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
130C,Her2-Enriched,,Her2-Enriched,csv:TMT Channels Used,0.8,PXD024322,,complete,Breast,Breast cancer
103B,X103B        103        Normal (adjacent)        Squamous epithelium        paired with X103A,sample_103,Normal (adjacent),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
105B,X105B        105        Normal (adjacent)        Squamous epithelium        paired with X105A,sample_105,Normal (adjacent),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
109B,X109B        109        Normal (adjacent)        Squamous epithelium        paired with X109A,sample_109,Normal (adjacent),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
111B,X111B        111        Normal (adjacent)        Squamous epithelium        paired with X111A,sample_111,Normal (adjacent),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
112B,X112B        112        Normal (adjacent)        Squamous epithelium        paired with X112A,sample_112,Normal (adjacent),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
101A,X101A        101        Normal (healthy)        Squamous epithelium        replicate,sample_101,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
101B,X101B        101        Normal (healthy)        Squamous epithelium        replicate,sample_101,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
104A,X104A        104        Normal (healthy)        Squamous epithelium        replicate,sample_104,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
104B,X104B        104        Normal (healthy)        Squamous epithelium        replicate,sample_104,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
106A,X106A        106        Normal (healthy)        Squamous epithelium        replicate,sample_106,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
106B,X106B        106        Normal (healthy)        Squamous epithelium        replicate,sample_106,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
107A,X107A        107        Normal (healthy)        Squamous epithelium        replicate,sample_107,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
107B,X107B        107        Normal (healthy)        Squamous epithelium        replicate,sample_107,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
108A,X108A        108        Normal (healthy)        Squamous epithelium        replicate,sample_108,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
108B,X108B        108        Normal (healthy)        Squamous epithelium        replicate,sample_108,Normal (healthy),csv:TMT Channels Used,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
103A,X103A        103        Disease (Barrett’s esophagus)        Barrett’s lesion        paired with X103B,sample_103,Disease (Barrett’s esophagus),csv:TMT Channels Comparison,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
105A,X105A        105        Disease (Barrett’s esophagus)        Barrett’s lesion        paired with X105B,sample_105,Disease (Barrett’s esophagus),csv:TMT Channels Comparison,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
109A,X109A        109        Disease (Barrett’s esophagus)        Barrett’s lesion        paired with X109B,sample_109,Disease (Barrett’s esophagus),csv:TMT Channels Comparison,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
111A,X111A        111        Disease (Barrett’s esophagus)        Barrett’s lesion        paired with X111B,sample_111,Disease (Barrett’s esophagus),csv:TMT Channels Comparison,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
112A,X112A        112        Disease (Barrett’s esophagus)        Barrett’s lesion        paired with X112B,sample_112,Disease (Barrett’s esophagus),csv:TMT Channels Comparison,0.82,PXD023293,,complete,Esophagus,Barrett's Esophagus
126,126 pooled reference,reference_126,126 pooled reference,csv:TMT Additional Channels,0.5,PXD051882,reference,complete,Gastrointestinal,Colorectal Cancer
126,126 pooled reference,reference_126,126 pooled reference,csv:TMT Additional Channels,0.5,PXD051907,reference,complete,Hematologic,Colorectal Cancer
207,2074 annotated blast channels,unknown_207,2074 annotated blast channels,csv:TMT Channels Used,0.5,PXD029216,unknown,complete,Hematopoietic system,Acute Myeloid Leukemia (AML)
126,126–130C = tumor/normal samples,control_126,126–130C = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000110,control,complete,Ovary; Fallopian tube,HGSOC
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000110,reference,complete,Ovary; Fallopian tube,HGSOC
130C,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000110,,complete,Ovary; Fallopian tube,HGSOC
126,126–130C = tumor/normal samples,control_126,126–130C = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000116,control,complete,Colon,COAD
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000116,reference,complete,Colon,COAD
130C,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000116,,complete,Colon,COAD
126,126–130C = tumor/normal samples,control_126,126–130C = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000118,control,complete,Ovary; Fallopian tube,HGSC
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000118,reference,complete,Ovary; Fallopian tube,HGSC
130C,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000118,,complete,Ovary; Fallopian tube,HGSC
126,126–130C = tumor samples (9 per plex),case_126,126–130C = tumor samples (9 per plex),csv:TMT Channels Comparison,0.5,PDC000120,case,complete,Breast,Breast invasive carcinoma (BRCA)
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000120,reference,complete,Breast,Breast invasive carcinoma (BRCA)
130C,tumor samples (9 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000120,,complete,Breast,Breast invasive carcinoma (BRCA)
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000125,case,complete,Uterus,Endometrial carcinoma (EC)
131,CompRef (pooled normal uterus),reference_131,CompRef (pooled normal uterus),csv:TMT Additional Channels,0.5,PDC000125,reference,complete,Uterus,Endometrial carcinoma (EC)
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000125,,complete,Uterus,Endometrial carcinoma (EC)
126,126–130C = tumor samples,case_126,126–130C = tumor samples,csv:TMT Channels Comparison,0.5,PDC000127,case,complete,Kidney,ccRCC
131,CompRef (pooled normal kidney),reference_131,CompRef (pooled normal kidney),csv:TMT Additional Channels,0.5,PDC000127,reference,complete,Kidney,ccRCC
130C,tumor samples; one plex has NAT as sample,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000127,,complete,Kidney,ccRCC
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000153,case,complete,Lung,Lung adenocarcinoma
131,CompRef (pooled normal lung),reference_131,CompRef (pooled normal lung),csv:TMT Additional Channels,0.5,PDC000153,reference,complete,Lung,Lung adenocarcinoma
